ANCIENNE_COMMUNE;COMMUNE;ART_MIN;NCCENR;CODE_ZE;DEPARTEMENT;REGION;REGION2016;EPCI;lib_zone_emploi;nom_dep;nom_ancienne_reg;nom_region
01001;01001;(L');Abergement-Clémenciat;8213;01;82;84;200069193;Villefranche-sur-Saône;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01002;01002;(L');Abergement-de-Varey;8201;01;82;84;240100883;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01003;01165;;Francheleins;8213;01;82;84;200070118;Villefranche-sur-Saône;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01004;01004;;Ambérieu-en-Bugey;8201;01;82;84;240100883;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01005;01005;;Ambérieux-en-Dombes;8213;01;82;84;200042497;Villefranche-sur-Saône;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01006;01006;;Ambléon;8216;01;82;84;200040350;Chambéry;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01007;01007;;Ambronay;8201;01;82;84;240100883;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01008;01008;;Ambutrix;8201;01;82;84;240100883;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01009;01009;;Andert-et-Condon;8216;01;82;84;200040350;Chambéry;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01010;01010;;Anglefort;8219;01;82;84;200070852;Genevois Français;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01011;01011;;Apremont;8203;01;82;84;200042935;Oyonnax;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01012;01012;;Aranc;8203;01;82;84;240100578;Oyonnax;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01013;01013;;Arandas;8201;01;82;84;240100883;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01014;01014;;Arbent;8203;01;82;84;200042935;Oyonnax;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01015;01015;;Arboys en Bugey;8216;01;82;84;200040350;Chambéry;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01016;01016;;Arbigny;0053;01;82;84;200071371;Mâcon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01017;01017;;Argis;8201;01;82;84;240100883;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01018;01033;;Bellegarde-sur-Valserine;8219;01;82;84;240100891;Genevois Français;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01019;01019;;Armix;8203;01;82;84;200040350;Oyonnax;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01020;01125;;Corveissiat;8203;01;82;84;200071751;Oyonnax;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01021;01021;;Ars-sur-Formans;8213;01;82;84;200042497;Villefranche-sur-Saône;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01022;01022;;Artemare;8216;01;82;84;200040350;Chambéry;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01023;01023;;Asnières-sur-Saône;0053;01;82;84;200071371;Mâcon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01024;01024;;Attignat;8202;01;82;84;200071751;Bourg-en-Bresse;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01025;01025;;Bâgé-Dommartin;0053;01;82;84;200071371;Mâcon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01026;01026;;Bâgé-le-Châtel;0053;01;82;84;200071371;Mâcon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01027;01027;;Balan;8214;01;82;84;240100610;Lyon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01028;01028;;Baneins;8213;01;82;84;200069193;Villefranche-sur-Saône;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01029;01029;;Beaupont;8202;01;82;84;200071751;Bourg-en-Bresse;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01030;01030;;Beauregard;8213;01;82;84;200042497;Villefranche-sur-Saône;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01031;01031;;Bellignat;8203;01;82;84;200042935;Oyonnax;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01032;01032;;Béligneux;8214;01;82;84;240100610;Lyon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01033;01033;;Bellegarde-sur-Valserine;8219;01;82;84;240100891;Genevois Français;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01034;01034;;Belley;8216;01;82;84;200040350;Chambéry;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01035;01035;;Belleydoux;8203;01;82;84;200042935;Oyonnax;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01036;01036;;Belmont-Luthézieu;8216;01;82;84;200040350;Chambéry;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01037;01037;;Bénonces;8201;01;82;84;240100883;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01038;01038;;Bény;8202;01;82;84;200071751;Bourg-en-Bresse;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01039;01039;;Béon;8216;01;82;84;200040350;Chambéry;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01040;01040;;Béréziat;8202;01;82;84;200071751;Bourg-en-Bresse;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01041;01041;;Bettant;8201;01;82;84;240100883;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01042;01042;;Bey;0053;01;82;84;200070555;Mâcon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01043;01043;;Beynost;8214;01;82;84;240100800;Lyon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01044;01044;;Billiat;8219;01;82;84;240100891;Genevois Français;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01045;01045;;Birieux;8214;01;82;84;200069193;Lyon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01046;01046;;Biziat;0053;01;82;84;200070555;Mâcon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01047;01047;;Blyes;8201;01;82;84;240100883;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01048;01245;;Bohas-Meyriat-Rignat;8202;01;82;84;200071751;Bourg-en-Bresse;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01049;01049;(La);Boisse;8214;01;82;84;240100610;Lyon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01050;01050;;Boissey;0053;01;82;84;200071371;Mâcon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01051;01051;;Bolozon;8203;01;82;84;200042935;Oyonnax;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01052;01052;;Bouligneux;8214;01;82;84;200069193;Lyon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01053;01053;;Bourg-en-Bresse;8202;01;82;84;200071751;Bourg-en-Bresse;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01054;01054;;Bourg-Saint-Christophe;8201;01;82;84;240100883;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01055;01283;;Oyonnax;8203;01;82;84;200042935;Oyonnax;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01056;01056;;Boyeux-Saint-Jérôme;8201;01;82;84;200029999;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01057;01057;;Boz;0053;01;82;84;200071371;Mâcon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01058;01058;;Brégnier-Cordon;8209;01;82;84;200040350;Bourgoin-Jallieu;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01059;01453;;Virieu-le-Petit;8216;01;82;84;200040350;Chambéry;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01060;01060;;Brénod;8203;01;82;84;200042935;Oyonnax;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01061;01061;;Brens;8216;01;82;84;200040350;Chambéry;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01062;01062;;Bressolles;8214;01;82;84;240100610;Lyon;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01063;01063;;Brion;8203;01;82;84;200042935;Oyonnax;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01064;01064;;Briord;8201;01;82;84;240100883;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01065;01065;;Buellas;8202;01;82;84;200071751;Bourg-en-Bresse;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01066;01066;(La);Burbanche;8201;01;82;84;200040350;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01067;01067;;Ceignes;8203;01;82;84;200042935;Oyonnax;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01068;01068;;Cerdon;8201;01;82;84;200029999;Ambérieu-en-Bugey;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
01069;01069;;Certines;8202;01;82;84;200071751;Bourg-en-Bresse;Ain;Rhône-Alpes;Auvergne-Rhône-Alpes
