NACE732;NACE732_LIB;NACE88;NACE88_LIB;NACE38;NACE38_LIB;NACE17;NACE17_LIB;NACE4;NACE4_LIB;NACE_GS;NACE_GS_LIB
0000Z;Inconnu;00;Inconnu;ZZ;Inconnu;ZZ;Inconnu;5;Inconnu;NCA;_non_classé_ailleurs_
0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0112Z;Culture du riz;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0113Z;Culture de légumes, de melons, de racines et de tubercules;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0114Z;Culture de la canne à sucre;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0115Z;Culture du tabac;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0116Z;Culture de plantes à fibres;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0119Z;autres cultures non permanentes;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0121Z;Culture de la vigne;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0122Z;Culture de fruits tropicaux et subtropicaux;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0123Z;Culture d'agrumes;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0124Z;Culture de fruits à pépins et à noyau;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0126Z;Culture de fruits oléagineux;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0127Z;Culture de plantes à boissons;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0129Z;autres cultures permanentes;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0130Z;Reproduction de plantes;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0141Z;Élevage de vaches laitières;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0142Z;Élevage d'autres bovins et de buffles;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0143Z;Élevage de chevaux et d'autres équidés;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0144Z;Élevage de chameaux et d'autres camélidés;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0145Z;Élevage d'ovins et de caprins;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0146Z;Élevage de porcins;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0147Z;Élevage de volailles;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0149Z;Élevage d'autres animaux;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0150Z;Culture et élevage associés;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0161Z;Activités de soutien aux cultures;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0162Z;Activités de soutien à la production animale;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0163Z;Traitement primaire des récoltes;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
0164Z;Traitement des semences;01;Culture et production animale, chasse et services annexes;AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture, pêche;1;Agriculture;GS0;Agriculture
